S&P/ASX 200 Index (1 June 2020),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
HVN,Harvey Norman Holdings Ltd,Consumer Discretionary,"4,186,580,000",0.24,,,
HLS,Healius Ltd,Health Care,"1,538,170,000",0.09,,,
HUB,HUB24 Ltd,Financials,"651,086,000",0.04,,,
IEL,Idp Education Ltd,Consumer Discretionary,"4,776,250,000",0.28,,,
IGO,IGO Ltd,Materials,"3,060,330,000",0.18,,,
ILU,Iluka Resources Ltd,Materials,"3,606,230,000",0.21,,,
IPL,Incitec Pivot Ltd,Materials,"3,807,750,000",0.22,,,
INA,Ingenia Communities Group,Real Estate,"1,368,240,000",0.08,,,
ING,Inghams Group Ltd,Consumer Staples,"1,233,980,000",0.07,,,
IAG,Insurance Australia Group Ltd,Financials,"13,935,600,000",0.81,,,
IVC,Invocare Ltd,Consumer Discretionary,"1,634,850,000",0.09,,,
IFL,IOOF Holdings Ltd,Financials,"1,688,680,000",0.1,,,
IPH,IPH Ltd,Industrials,"1,629,410,000",0.09,,,
IRE,Iress Ltd,Information Technology,"1,978,000,000",0.11,,,
JHX,James Hardie Industries Plc,Materials,"11,690,200,000",0.68,,,
JHG,Janus Henderson Group Plc,Financials,"1,234,170,000",0.07,,,
JBH,JB Hi-Fi Ltd,Consumer Discretionary,"4,360,970,000",0.25,,,
JIN,Jumbo Interactive Ltd,Consumer Discretionary,"740,970,000",0.04,,,
LLC,Lendlease Group,Real Estate,"8,688,540,000",0.5,,,
A2M,The a2 Milk Company Ltd,Consumer Staples,"12,806,500,000",0.74,,,
LNK,Link Administration Holdings Ltd,Information Technology,"2,163,740,000",0.13,,,
LYC,Lynas Corporation Ltd,Materials,"1,464,490,000",0.08,,,
MFG,Magellan Financial Group Ltd,Financials,"10,668,900,000",0.62,,,
MGR,Mirvac Group,Real Estate,"9,048,070,000",0.52,,,
MIN,Mineral Resources Ltd,Materials,"3,656,310,000",0.21,,,
MMS,Mcmillan Shakespeare Ltd,Industrials,"684,049,000",0.04,,,
MND,Monadelphous Group Ltd,Industrials,"1,123,480,000",0.07,,,
MPL,Medibank Private Ltd,Financials,"7,766,290,000",0.45,,,
MQG,Macquarie Group Ltd,Financials,"39,155,600,000",2.27,,,
MTS,Metcash Ltd,Consumer Staples,"2,750,160,000",0.16,,,
MYX,Mayne Pharma Group Ltd,Health Care,"713,604,000",0.04,,,
NAB,National Australia Bank Ltd,Financials,"57,372,200,000",3.32,,,
NAN,Nanosonics Ltd,Health Care,"2,164,350,000",0.13,,,
NCM,Newcrest Mining Ltd,Materials,"25,395,500,000",1.47,,,
NEA,Nearmap Ltd,Information Technology,"991,448,000",0.06,,,
NEC,Nine Entertainment Co. Holdings Ltd,Communication Services,"2,558,090,000",0.15,,,
NHC,New Hope Corporation Ltd,Energy,"1,139,440,000",0.07,,,
NHF,Nib Holdings Ltd,Financials,"2,096,800,000",0.12,,,
NSR,National Storage REIT,Real Estate,"1,808,630,000",0.1,,,
NST,Northern Star Resources Ltd,Materials,"11,226,500,000",0.65,,,
NUF,Nufarm Ltd,Materials,"2,122,490,000",0.12,,,
NWH,NRW Holdings Ltd,Industrials,"829,903,000",0.05,,,
NWL,Netwealth Group Ltd,Financials,"1,946,720,000",0.11,,,
NWS,News Corporation,Communication Services,"885,415,000",0.05,,,
NXT,NEXTDC Ltd,Information Technology,"4,090,870,000",0.24,,,
OML,Ooh!Media Ltd,Communication Services,"645,049,000",0.04,,,
ORA,Orora Ltd,Materials,"3,233,920,000",0.19,,,
ORE,Orocobre Ltd,Materials,"681,647,000",0.04,,,
ORG,Origin Energy Ltd,Energy,"10,708,200,000",0.62,,,
ORI,Orica Ltd,Materials,"7,041,830,000",0.41,,,
OSH,Oil Search Ltd,Energy,"7,376,370,000",0.43,,,
OZL,OZ Minerals Ltd,Materials,"3,121,930,000",0.18,,,
PDL,Pendal Group Ltd,Financials,"2,014,290,000",0.12,,,
PLS,Pilbara Minerals Ltd,Materials,"589,282,000",0.03,,,
PME,Pro Medicus Ltd,Health Care,"3,047,720,000",0.18,,,
PMV,Premier Investments Ltd,Consumer Discretionary,"2,603,080,000",0.15,,,
PNI,Pinnacle Investment Management Group Ltd,Financials,"781,508,000",0.05,,,
PNV,Polynovo Ltd,Health Care,"1,778,330,000",0.1,,,
PPT,Perpetual Ltd,Financials,"1,449,620,000",0.08,,,
PRN,Perenti Global Ltd,Materials,"866,264,000",0.05,,,
PTM,Platinum Asset Management Ltd,Financials,"2,211,780,000",0.13,,,
QAN,Qantas Airways Ltd,Industrials,"5,978,080,000",0.35,,,
QBE,QBE Insurance Group Ltd,Financials,"12,840,900,000",0.74,,,
QUB,QUBE Holdings Ltd,Industrials,"5,160,840,000",0.3,,,
REA,REA Group Ltd,Communication Services,"13,540,300,000",0.78,,,
RHC,Ramsay Health Care Ltd,Health Care,"15,941,600,000",0.92,,,
