,Code,current_price_change,current_PED
0,AAL,-0.27611350470826757,63.027059139803484
1,AAON,-0.6147514209914885,97.98833068010653
2,AAPL,-0.6045434600170986,77.76671855849675
3,AAWW,0.7509086966944946,80.48324910056057
4,ABCB,0.9921706631946929,10.673398183162838
5,ABCL,1.848432674487704,26.750090300437968
6,ABCM,0.04727123142549631,1511.1350395479096
7,ABMD,3.0471258357759967,10.99345496657518
8,ABNB,1.1510295270397815,15.702937507603954
9,ABST,2.945988912966434,36.2681093807189
10,ABUS,-1.1627895694091224,11.504273457772317
11,ACAD,-1.3390663861316507,17.4494227724884
12,ACBI,-1.3016850752822158,5.909499800203163
13,ACCD,2.046663912214807,57.70921679586307
14,ACGL,-2.50062505133243,12.670243459040488
15,ACGLO,-0.1704064218078617,229.33677824759047
16,ACGLP,-0.2736040729665034,12.824267898431945
17,ACHC,0.42283025288824977,20.536624177978418
18,ACHL,-3.8461503192516595,1.825749398519577
19,ACIW,-0.6702163189501681,74.72252675117782
20,ACLS,0.11350142188499296,446.8501981056151
21,ACOR,4.106772360676893,0.303112315142572
22,ACRS,2.090026318421197,15.002114623975661
23,ACTG,0.49139611592899324,34.735275076245685
24,ACVA,1.8118028764623866,0.6469408916278652
25,ADAP,1.7574676242015228,0.1506288615543016
26,ADBE,-0.356318140437003,78.04275861427186
27,ADI,-2.2115937304995494,0.991969994633232
28,ADP,-4.8469344098643,13.457043776031226
29,ADPT,-2.7278944514278427,0.34949659801149874
30,ADSK,0.45554039699837057,24.388220990655814
31,ADTN,0.4542869123550541,66.31919113266241
32,ADUS,2.6404113576939103,8.599656364109004
33,ADV,0.0,inf
34,ADVWW,,
35,AEGN,-0.9528470648280123,113.23817084728745
36,AEIS,-0.700375562621427,4.639840247450077
37,AEP,-0.5404399361627642,142.87293955846698
38,AEPPL,-0.42223601466880895,74.13559434338895
39,AEPPZ,-0.07900634936493166,1820.7553052425942
40,AFIB,-0.06884182541732771,581.0421173104435
41,AFIN,1.2257491287128153,15.612367074454834
42,AFINO,-0.03893411998622491,1242.4087931195081
43,AFINP,0.3056932609405707,198.48051971013632
44,AFRM,1.0938876518762657,16.010923185509853
45,AFYA,-0.9545530142798236,146.0529535681126
46,AGFS,-1.3667412607237444,38.359260799851114
47,AGIO,0.09025947895827188,209.05098222838092
48,AGNC,1.1761360395215894,18.78354430460124
49,AGNCM,0.07809627991803987,1673.148411214953
50,AGNCN,0.7380094577673412,17.7928792010858
51,AGNCO,0.39824923471527995,301.7630238439495
52,AGNCP,0.3702948013077168,176.96574499242382
53,AGYS,1.478110237882553,10.289280386945832
54,AIMC,1.1963172021557955,2.9640589904737205
55,AINV,0.41351082454873406,117.59777160065589
56,AKAM,-2.3934717285634424,12.594264807299847
57,AKRO,3.6421766455276985,0.07046803793625578
58,AKUS,12.87095911907586,2.087898306403525
59,AKYA,3.571425226269879,12.590681733363764
60,ALCO,-0.13378232788522687,121.65182527016992
61,ALEC,2.196634104466604,0.14130634861354605
62,ALGM,-2.8222721723183994,4.890649176989262
63,ALGN,-1.3601956809492846,29.317326302393816
64,ALGS,-1.4890249535691018,17.42739147945797
65,ALGT,-1.82101420743559,14.417694352752543
66,ALHC,2.8798795717868666,20.335056721782163
67,ALKS,-3.297942329739947,11.568683928089113
68,ALKT,0.6189327037895482,63.10184249804354
69,ALLK,1.9606068676517954,13.30134598603691
70,ALLO,-2.51732258852164,31.384160644185567
71,ALLT,-0.7063252521200406,103.43586118619626
72,ALNA,3.174600171093715,18.638534512824286
73,ALNY,1.5658432842069576,11.273398120016589
74,ALRM,-1.1618146387516353,18.643052438339204
75,ALSK,0.9077147311917045,39.789135113556966
76,ALTR,0.5751779188749115,27.492802649621925
77,ALVR,0.7415488544364367,19.503390426118095
78,ALXN,-0.19773021222466788,204.3861929282569
79,ALXO,4.4680360837778705,4.4861354753422855
80,AMAT,-0.8000853914245909,8.428560939760375
81,AMBA,0.8725172523986827,12.718959068604653
82,AMCX,-0.5107357588814022,49.41498288657631
83,AMD,-1.406372949772047,39.0015556943867
84,AMED,-0.014027378015350877,1517.4546297553284
85,AMGN,-7.490239807512912,14.71236377040979
86,AMKR,0.5209595621309226,161.02220010816515
87,AMNB,0.029387795725902652,156.8098190778489
88,AMPH,1.3314011422009866,15.764870522595704
89,AMRB,0.6524424568239213,49.73561806826423
90,AMRK,0.10635712544055137,360.2408027342423
91,AMRS,1.1787776799364693,42.24409241832135
92,AMSC,-1.0804693411740167,29.134412753007783
93,AMSF,0.7403815814655204,12.04963806845966
94,AMSWA,1.8044420247177684,16.620889232725332
95,AMTB,0.11154744798246559,421.34536334159833
96,AMTBB,0.9606123645785505,13.012532901847589
97,AMTI,1.821427473942692,34.340544263466114
98,AMWD,-2.3787607194957276,21.097140078531297
99,AMYT,0.33389038338945937,400.50578282520513
100,AMZN,1.1946040395317266,15.538881305812358
101,ANAB,4.258807994586941,13.81318345335272
102,ANAT,-0.626294777012752,9.642546286844114
103,ANDE,-0.7252601796787631,113.969556354994
104,ANGI,0.1828752644549677,79.51571433004236
105,ANGN,-2.064695019979083,5.010341714444441
106,ANGO,-1.6656504213872867,3.3679533794223975
107,ANIK,0.8364087473026736,70.29257520913673
108,ANNX,-2.5178979313766003,4.01082627815839
109,ANSS,0.504729305688936,48.80523244320102
110,AOSL,-0.6539090788310788,5.975485327082311
111,AOUT,-2.1553322424376837,20.92648389589136
112,APA,7.388659248792294,3.1466636365559983
113,APEI,0.5097159940209267,152.68162799543555
114,APHA,8.797656291804822,6.18572220661818
