time,low,high,open,close,volume
2020-01-01 01:00:00,7147.18,7204.94,7149.26,7194.52,232.20326873
2020-01-01 02:00:00,7191.44,7218.42,7194.52,7217.0,189.93790294
2020-01-01 03:00:00,7193.34,7217.0,7217.0,7196.98,234.73978059
2020-01-01 04:00:00,7183.85,7200.62,7196.99,7186.41,205.90872906
2020-01-01 05:00:00,7183.85,7199.0,7186.4,7197.31,120.59609582
2020-01-01 06:00:00,7197.31,7207.87,7197.31,7201.46,131.51899975
2020-01-01 07:00:00,7175.0,7209.15,7201.3,7185.91,53.59980251
2020-01-01 08:00:00,7158.19,7185.91,7185.9,7181.99,71.49745551
2020-01-01 09:00:00,7170.01,7189.53,7181.99,7170.01,53.71043183
2020-01-01 10:00:00,7170.01,7187.55,7170.01,7182.33,31.27827458
2020-01-01 11:00:00,7168.45,7215.0,7182.33,7174.26,120.12520738
2020-01-01 12:00:00,7174.27,7206.82,7174.27,7206.82,63.82391835
2020-01-01 13:00:00,7197.93,7210.84,7206.82,7200.4,60.01184369
2020-01-01 14:00:00,7188.91,7215.0,7200.01,7199.03,78.08757791
2020-01-01 15:00:00,7196.43,7238.14,7199.03,7214.31,198.12448662
2020-01-01 16:00:00,7195.02,7225.0,7213.34,7223.86,162.05030952
2020-01-01 17:00:00,7204.96,7231.27,7224.99,7218.01,124.52960211
2020-01-01 18:00:00,7205.69,7229.37,7218.0,7218.3,222.31596403
2020-01-01 19:00:00,7199.61,7218.31,7218.3,7207.07,167.18158325
2020-01-01 20:00:00,7200.0,7221.92,7207.06,7215.85,90.85722726
2020-01-01 21:00:00,7204.53,7222.6,7215.85,7216.34,140.19214355
2020-01-01 22:00:00,7163.91,7217.0,7216.2,7177.01,198.44105178
2020-01-01 23:00:00,7150.0,7177.58,7177.01,7174.33,149.04858016
2020-01-02 00:00:00,7160.0,7186.18,7174.33,7181.99,92.04082952
2020-01-02 01:00:00,7157.15,7182.0,7181.99,7165.75,189.81934306
2020-01-02 02:00:00,7125.0,7165.74,7165.74,7141.11,344.74459494
2020-01-02 03:00:00,7096.61,7141.11,7141.11,7098.88,380.89996504
2020-01-02 04:00:00,7089.0,7129.77,7098.87,7110.98,258.25134995
2020-01-02 05:00:00,7101.48,7123.71,7112.11,7108.03,108.03915924
2020-01-02 06:00:00,7091.1,7119.97,7108.04,7104.32,128.22574701
2020-01-02 07:00:00,7074.09,7109.32,7103.45,7077.45,319.47617746
2020-01-02 08:00:00,7075.0,7122.5,7075.04,7122.05,131.46789789
2020-01-02 09:00:00,7108.52,7132.48,7122.49,7132.48,42.30981084
2020-01-02 10:00:00,7132.28,7156.65,7132.48,7136.88,92.77181797
2020-01-02 11:00:00,7120.0,7141.68,7136.88,7120.0,60.22409994
2020-01-02 12:00:00,7117.78,7140.81,7117.78,7132.72,97.37740858
2020-01-02 13:00:00,7081.03,7139.97,7132.72,7107.87,259.61025798
2020-01-02 14:00:00,7099.03,7137.23,7107.85,7114.12,187.17203792
2020-01-02 15:00:00,7095.5,7130.0,7114.12,7111.72,184.64441275
2020-01-02 16:00:00,7011.3,7125.0,7111.69,7027.01,824.47920444
2020-01-02 17:00:00,6903.0,7027.01,7027.01,6942.4,2348.88771903
2020-01-02 18:00:00,6927.13,6968.22,6942.4,6955.01,578.86768208
2020-01-02 19:00:00,6937.82,6976.17,6955.01,6965.0,306.98121211
2020-01-02 20:00:00,6924.75,6965.01,6965.0,6927.24,316.31984846
2020-01-02 21:00:00,6926.16,6967.14,6927.24,6957.97,268.98089312
2020-01-02 22:00:00,6943.33,6958.0,6957.98,6955.62,188.58460916
2020-01-02 23:00:00,6936.69,6957.0,6955.62,6945.02,300.75130899
2020-01-03 00:00:00,6903.09,6945.03,6945.02,6919.01,353.74767742
2020-01-03 01:00:00,6864.0,6927.58,6919.01,6869.45,520.71391049
2020-01-03 02:00:00,6854.67,6945.4,6869.45,6938.93,442.92750511
2020-01-03 03:00:00,6925.61,6947.64,6938.93,6937.61,179.84355856
2020-01-03 04:00:00,6937.61,7281.24,6937.61,7194.79,2312.60884673
2020-01-03 05:00:00,7151.79,7235.94,7194.79,7203.04,621.34774945
2020-01-03 06:00:00,7181.35,7209.94,7203.04,7193.14,377.32931399
2020-01-03 07:00:00,7176.07,7220.0,7193.14,7184.66,526.39958097
2020-01-03 08:00:00,7186.59,7287.52,7186.59,7255.9,466.90773101
2020-01-03 09:00:00,7252.56,7347.36,7255.86,7337.53,678.76846687
2020-01-03 10:00:00,7276.77,7361.7,7337.67,7301.15,427.04173693
2020-01-03 11:00:00,7296.09,7333.77,7301.15,7327.64,504.61979387
2020-01-03 12:00:00,7296.05,7339.31,7327.64,7316.31,438.36713025
2020-01-03 13:00:00,7306.5,7369.61,7316.3,7342.88,329.31686069
2020-01-03 14:00:00,7227.78,7347.29,7342.19,7245.0,885.42430268
2020-01-03 15:00:00,7245.0,7319.83,7245.0,7313.23,636.68868872
2020-01-03 16:00:00,7291.42,7401.2,7315.02,7386.74,1229.5309057
2020-01-03 17:00:00,7330.0,7400.0,7386.74,7353.04,514.58293231
2020-01-03 18:00:00,7330.0,7363.28,7353.04,7334.38,407.71630268
2020-01-03 19:00:00,7276.14,7341.53,7334.39,7330.91,473.99011501
2020-01-03 20:00:00,7293.7,7349.44,7330.9,7308.25,444.92422777
2020-01-03 21:00:00,7259.0,7326.85,7308.25,7269.3,458.90332121
2020-01-03 22:00:00,7250.0,7309.75,7269.3,7294.72,479.78004426
2020-01-03 23:00:00,7288.99,7334.45,7293.9,7334.45,344.91168221
2020-01-04 00:00:00,7284.15,7339.99,7334.45,7302.44,221.32806623
2020-01-04 01:00:00,7277.34,7304.55,7302.43,7303.07,187.44033035
2020-01-04 02:00:00,7290.09,7320.98,7303.07,7320.68,94.49726129
2020-01-04 03:00:00,7311.29,7332.89,7320.68,7323.57,148.11330622
2020-01-04 04:00:00,7302.78,7330.0,7323.6,7326.97,89.42103635
2020-01-04 05:00:00,7320.0,7359.99,7326.86,7333.94,213.56898291
2020-01-04 06:00:00,7330.57,7354.72,7333.95,7349.54,113.68026266
2020-01-04 07:00:00,7322.27,7354.98,7349.54,7343.16,89.42901598
2020-01-04 08:00:00,7327.16,7352.04,7343.16,7339.13,101.13121362
2020-01-04 09:00:00,7332.14,7355.23,7339.13,7351.67,103.5712781
2020-01-04 10:00:00,7296.81,7357.39,7351.67,7304.74,96.14874537
2020-01-04 11:00:00,7292.02,7328.74,7304.11,7326.61,56.34765261
2020-01-04 12:00:00,7295.0,7328.18,7326.61,7299.94,80.90483671
2020-01-04 13:00:00,7280.5,7312.54,7299.95,7287.85,150.30265332
2020-01-04 14:00:00,7281.9,7310.75,7287.83,7304.85,120.76563707
2020-01-04 15:00:00,7293.6,7317.58,7304.86,7306.11,176.79893336
2020-01-04 16:00:00,7285.02,7313.79,7306.12,7297.65,148.6677214
2020-01-04 17:00:00,7295.75,7339.31,7297.64,7339.3,179.05437675
2020-01-04 18:00:00,7263.32,7398.0,7339.31,7291.42,1058.75038641
2020-01-04 19:00:00,7275.01,7342.75,7291.41,7322.54,412.77298102
2020-01-04 20:00:00,7304.43,7339.78,7324.2,7333.01,272.61035774
2020-01-04 21:00:00,7322.23,7358.51,7333.01,7344.84,266.71684156
2020-01-04 22:00:00,7334.09,7354.23,7343.98,7346.37,168.07933972
2020-01-04 23:00:00,7326.69,7350.0,7346.38,7348.63,192.36499314
2020-01-05 00:00:00,7348.62,7384.37,7348.63,7368.94,350.85117005
2020-01-05 01:00:00,7368.75,7471.52,7368.75,7451.01,1181.71899359
2020-01-05 02:00:00,7425.0,7483.28,7451.0,7438.05,402.96988062
2020-01-05 03:00:00,7438.08,7474.0,7438.75,7471.82,213.15908352
2020-01-05 04:00:00,7441.33,7488.87,7470.9,7447.56,302.85806188
2020-01-05 05:00:00,7440.65,7459.65,7447.56,7454.73,153.15832274
2020-01-05 06:00:00,7442.06,7478.24,7454.8,7461.65,415.97293508
2020-01-05 07:00:00,7446.57,7473.78,7461.65,7468.22,226.14532625
2020-01-05 08:00:00,7413.91,7475.0,7468.28,7426.38,230.68313579
2020-01-05 09:00:00,7396.36,7435.0,7426.41,7425.11,219.46435362
2020-01-05 10:00:00,7404.95,7431.33,7425.1,7413.9,29.14557055
2020-01-05 11:00:00,7409.46,7441.25,7413.89,7423.92,71.87626338
2020-01-05 12:00:00,7423.42,7457.32,7423.85,7457.32,77.83077072
2020-01-05 13:00:00,7411.11,7460.03,7457.32,7430.68,142.53143445
2020-01-05 14:00:00,7425.35,7442.92,7431.11,7431.21,44.58663678
2020-01-05 15:00:00,7428.09,7472.51,7430.77,7459.97,141.87501411
2020-01-05 16:00:00,7450.0,7479.52,7459.97,7455.99,168.39993767
2020-01-05 17:00:00,7444.33,7464.12,7457.1,7461.16,163.62484744
2020-01-05 18:00:00,7419.2,7463.0,7461.17,7432.09,179.07987117
2020-01-05 19:00:00,7422.94,7443.86,7432.08,7439.16,141.58289513
2020-01-05 20:00:00,7422.41,7439.15,7439.15,7428.7,123.13827967
2020-01-05 21:00:00,7356.82,7430.08,7428.71,7356.82,369.2918162
2020-01-05 22:00:00,7316.0,7375.0,7355.79,7348.07,358.42004248
2020-01-05 23:00:00,7312.22,7357.04,7348.06,7355.4,233.65030285
2020-01-06 00:00:00,7343.17,7377.45,7355.4,7372.97,220.42447508
2020-01-06 01:00:00,7361.64,7416.17,7372.93,7416.1,335.90121618
